Company Name,Designation,Founded Year,Total Employees,Industry,Latest Funding Amount,Annual Revenue,Company Linkedin Url,Growth Alert,Workday Status,No.of People in CX sheet,No.of phone number,Account Status
BO Street,Co-Founder,2020,3,apparel & fashion,Not Known,1900000.0,https://www.linkedin.com/company/bostreet/,Not Defined,Not Known,0.0,0.0,Active
Logiclens Solutions,Founder and CEO,2022,4,information technology & services,Not Known,1900000.0,https://www.linkedin.com/company/logiclens/,Not Defined,Not Known,0.0,0.0,Active
Adloop Innovations,Chief Technology Officer,2024,4,marketing & advertising,Not Known,1900000.0,http://www.linkedin.com/company/the-hype-loop,Not Defined,Not Known,0.0,0.0,Not Active
Kimipost,"Co-Founder @ Kimipost ""Empowering eCommerce Shipping with Tech Automation""",2023,7,logistics & supply chain,Not Known,1900000.0,https://www.linkedin.com/company/kimipost/,Not Defined,Not Known,0.0,0.0,Active
Spacempact,Co-Founder,2020,10,information technology & services,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
Ira Paul,CEO & Co-Founder,2021,10,apparel & fashion,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
Madzenia,Co-Founder,2022,7,information technology & services,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
Parshada,Co-Founder,2020,3,food production,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
The KIA Associates,Co-Founder and Owner,2020,6,retail,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
Hawk - The Flying Beast,Co-Founder | CFO,2020,3,luxury goods & jewelry,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Not Active
Uday Aqua Connects,Founder,2020,10,fishery,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
ClothBaba,Chief Executive Officer,2021,2,apparel & fashion,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
Eleven O One,Founder,2020,2,apparel & fashion,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
Metawallah,Owner,2023,4,online media,Not Known,1900000.0,https://www.linkedin.com/company/metawallah,Not Defined,Not Known,0.0,0.0,Active
Aeron Lifescience,Founder,2020,4,"health, wellness & fitness",Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
iPankh,"Founder, iPankh Technology Pvt Ltd",2021,7,information technology & services,Not Known,1900000.0,http://www.linkedin.com/company/ipankh,Not Defined,Not Known,0.0,0.0,Active
Softneph,Founder & Director,2020,3,information technology & services,Not Known,1900000.0,http://www.linkedin.com/company/softneph,Not Defined,Not Known,0.0,0.0,Active
Big Bang Creation,Chief Executive Officer,2020,9,design,Not Known,1900000.0,http://www.linkedin.com/company/bigbang-creation,Not Defined,Not Known,0.0,0.0,Active
Zaavorr,CEO,2021,3,luxury goods & jewelry,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
Bunka,Co-Founder,2021,6,apparel & fashion,Not Known,1900000.0,http://www.linkedin.com/company/bunkastudio,Not Defined,Not Known,0.0,0.0,Active
Thrustworks Dynetics,Co-Founder/Chief Operating Officer,2023,7,information technology & services,Not Known,1900000.0,http://www.linkedin.com/company/thrustworks-dynetics,NO,No Match,0.0,0.0,Not Active
Aashonline,Owner,2021,2,information technology & services,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
Digital Dogs Content and Media,Co-founder & Director of Design Thinking,2020,8,marketing & advertising,Not Known,1900000.0,http://www.linkedin.com/company/digitaldogs,Not Defined,Not Known,0.0,0.0,Active
Littleens,Founder,2020,5,apparel & fashion,Not Known,1900000.0,http://www.linkedin.com/company/littleens,Not Defined,Not Known,0.0,0.0,Active
AgenterBooks,Chief Operating Officer,2021,8,accounting,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Not Active
Shlokin Digital Media Pvt Ltd,Co-Founder,2020,7,public relations & communications,Not Known,1900000.0,http://www.linkedin.com/company/shlokin-digital-media-pvt-ltd,Not Defined,Not Known,0.0,0.0,Active
Tecstent,Chief Executive Officer,2021,6,marketing & advertising,Not Known,1900000.0,http://www.linkedin.com/company/tecstent-internet-marketing-company,Not Defined,Not Known,0.0,0.0,Active
Inkcre Media,Co-Founder and CTO,2021,10,online media,Not Known,1900000.0,http://www.linkedin.com/company/inkcre-media,NO,No Match,0.0,0.0,Active
Creative Central,Founder,2021,8,information technology & services,Not Known,1900000.0,Not Created,Not Defined,Not Known,0.0,0.0,Active
Arplace,Founder and Ceo,2022,2,construction,Not Known,1900000.0,http://www.linkedin.com/company/arplace-in,Not Defined,Not Known,0.0,0.0,Inactive
Label Aarna,Founder,2020,3,apparel & fashion,Not Known,1900000.0,http://www.linkedin.com/company/label-aarna,Not Defined,Not Known,0.0,0.0,Active
Digiedia,Co-Founder,2020,4,marketing & advertising,Not Known,1900000.0,http://www.linkedin.com/company/digiedia,Not Defined,Not Known,0.0,0.0,Active
